"Row ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Category","Sub-Category","Sales","Quantity","Discount","Profit"
"39","12/27/2012","12/31/2012","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","Furniture","Bookcases","532.3992","3","0.32","-46.9764"
"40","12/27/2012","12/31/2012","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","Furniture","Chairs","212.058","3","0.3","-15.147"
"41","12/27/2012","12/31/2012","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","77041","Central","Technology","Phones","371.168","4","0.2","41.7564"
"42","9/11/2014","9/16/2014","Standard Class","LC-16930","Linda Cazamias","Corporate","United States","Naperville","Illinois","60540","Central","Technology","Phones","147.168","4","0.2","16.5564"
"43","7/18/2013","7/23/2013","Standard Class","RA-19885","Ruben Ausman","Corporate","United States","Los Angeles","California","90049","West","Office Supplies","Storage","77.88","2","0","3.894"
"44","9/20/2014","9/24/2014","Standard Class","ES-14080","Erin Smith","Corporate","United States","Melbourne","Florida","32935","South","Office Supplies","Storage","95.616","2","0.2","9.5616"
"45","3/12/2013","3/14/2013","First Class","ON-18715","Odella Nelson","Corporate","United States","Eagan","Minnesota","55122","Central","Technology","Accessories","45.98","2","0","19.7714"
"46","3/12/2013","3/14/2013","First Class","ON-18715","Odella Nelson","Corporate","United States","Eagan","Minnesota","55122","Central","Office Supplies","Binders","17.46","2","0","8.2062"
"47","10/20/2011","10/25/2011","Second Class","PO-18865","Patrick O'Donnell","Consumer","United States","Westland","Michigan","48185","Central","Office Supplies","Storage","211.96","4","0","8.4784"
"48","6/21/2013","6/26/2013","Standard Class","LH-16900","Lena Hernandez","Consumer","United States","Dover","Delaware","19901","East","Technology","Accessories","45","3","0","4.95"
"49","6/21/2013","6/26/2013","Standard Class","LH-16900","Lena Hernandez","Consumer","United States","Dover","Delaware","19901","East","Technology","Phones","21.8","2","0","6.104"
"50","4/18/2012","4/22/2012","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","Office Supplies","Binders","38.22","6","0","17.9634"
"51","4/18/2012","4/22/2012","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","Office Supplies","Labels","75.18","6","0","35.3346"
"52","4/18/2012","4/22/2012","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","Furniture","Furnishings","6.16","2","0","2.9568"
"53","4/18/2012","4/22/2012","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","47150","Central","Furniture","Chairs","89.99","1","0","17.0981"
"54","12/12/2013","12/18/2013","Standard Class","JM-15265","Janet Molinari","Corporate","United States","New York City","New York","10024","East","Office Supplies","Fasteners","15.26","7","0","6.2566"
"55","12/12/2013","12/18/2013","Standard Class","JM-15265","Janet Molinari","Corporate","United States","New York City","New York","10024","East","Technology","Phones","1029.95","5","0","298.6855"
"56","6/18/2013","6/19/2013","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","Office Supplies","Storage","208.56","6","0","52.14"
"57","6/18/2013","6/19/2013","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","Office Supplies","Paper","32.4","5","0","15.552"
"58","6/18/2013","6/19/2013","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","Furniture","Chairs","319.41","5","0.1","7.098"
"59","6/18/2013","6/19/2013","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","Office Supplies","Paper","14.56","2","0","6.9888"
"60","6/18/2013","6/19/2013","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","Technology","Accessories","30","2","0","3.3"
"61","6/18/2013","6/19/2013","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","Office Supplies","Binders","48.48","4","0.2","16.362"
"62","6/18/2013","6/19/2013","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","Office Supplies","Art","1.68","1","0","0.84"
"63","11/24/2012","11/30/2012","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","Technology","Accessories","13.98","2","0","6.1512"
"64","11/24/2012","11/30/2012","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","Office Supplies","Binders","25.824","6","0.2","9.3612"
"65","11/24/2012","11/30/2012","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","Office Supplies","Paper","146.73","3","0","68.9631"
"66","11/24/2012","11/30/2012","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","Furniture","Furnishings","79.76","4","0","22.3328"
"67","4/30/2012","5/5/2012","Standard Class","PS-18970","Paul Stevenson","Home Office","United States","Chicago","Illinois","60610","Central","Furniture","Chairs","213.115","5","0.3","-15.2225"
"68","12/5/2011","12/10/2011","Standard Class","BS-11590","Brendan Sweed","Corporate","United States","Gilbert","Arizona","85234","West","Office Supplies","Art","1113.024","8","0.2","111.3024"
"69","12/5/2011","12/10/2011","Standard Class","BS-11590","Brendan Sweed","Corporate","United States","Gilbert","Arizona","85234","West","Technology","Phones","167.968","4","0.2","62.988"
"70","6/5/2013","6/7/2013","First Class","KD-16270","Karen Daniels","Consumer","United States","Springfield","Virginia","22153","South","Office Supplies","Paper","75.88","2","0","35.6636"
"71","9/19/2013","9/24/2013","Standard Class","HM-14980","Henry MacAllister","Consumer","United States","New York City","New York","10009","East","Office Supplies","Binders","4.616","1","0.2","1.731"
"72","9/15/2014","9/18/2014","Second Class","TB-21520","Tracy Blumstein","Consumer","United States","Jackson","Michigan","49201","Central","Office Supplies","Paper","19.05","3","0","8.763"
"73","4/26/2012","5/2/2012","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","Furniture","Chairs","831.936","8","0.2","-114.3912"
"74","4/26/2012","5/2/2012","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","Furniture","Furnishings","97.04","2","0.2","1.213"
"75","4/26/2012","5/2/2012","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee","38109","South","Office Supplies","Storage","72.784","1","0.2","-18.196"
"76","12/10/2014","12/12/2014","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","Office Supplies","Binders","1.248","3","0.8","-1.9344"
"77","12/10/2014","12/12/2014","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","Furniture","Furnishings","9.708","3","0.6","-5.8248"
"78","12/10/2014","12/12/2014","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central","Office Supplies","Storage","27.24","3","0.2","2.724"
"79","11/26/2011","12/1/2011","Second Class","JE-15745","Joel Eaton","Consumer","United States","Houston","Texas","77070","Central","Furniture","Furnishings","19.3","5","0.6","-14.475"
"80","6/13/2013","6/16/2013","First Class","SC-20770","Stewart Carmichael","Corporate","United States","Decatur","Alabama","35601","South","Office Supplies","Appliances","208.16","1","0","56.2032"
"81","6/13/2013","6/16/2013","First Class","SC-20770","Stewart Carmichael","Corporate","United States","Decatur","Alabama","35601","South","Office Supplies","Binders","16.74","3","0","8.0352"
"82","10/12/2011","10/16/2011","Standard Class","DN-13690","Duane Noonan","Consumer","United States","San Francisco","California","94122","West","Office Supplies","Art","14.9","5","0","4.172"
"83","10/12/2011","10/16/2011","Standard Class","DN-13690","Duane Noonan","Consumer","United States","San Francisco","California","94122","West","Office Supplies","Storage","21.39","1","0","6.2031"
"84","9/3/2012","9/8/2012","Standard Class","JC-16105","Julie Creighton","Corporate","United States","Durham","North Carolina","27707","South","Office Supplies","Envelopes","200.984","7","0.2","62.8075"
"85","11/14/2014","11/17/2014","First Class","CS-12400","Christopher Schild","Home Office","United States","Chicago","Illinois","60623","Central","Office Supplies","Storage","230.376","3","0.2","-48.9549"
"86","5/29/2014","5/31/2014","Second Class","PO-18865","Patrick O'Donnell","Consumer","United States","Columbia","South Carolina","29203","South","Furniture","Chairs","301.96","2","0","33.2156"
"87","10/27/2014","11/3/2014","Standard Class","PG-18895","Paul Gonzalez","Consumer","United States","Rochester","Minnesota","55901","Central","Technology","Accessories","19.99","1","0","6.7966"
"88","10/27/2014","11/3/2014","Standard Class","PG-18895","Paul Gonzalez","Consumer","United States","Rochester","Minnesota","55901","Central","Office Supplies","Labels","6.16","2","0","2.9568"
"89","4/6/2013","4/11/2013","Second Class","GM-14455","Gary Mitchum","Home Office","United States","Houston","Texas","77095","Central","Office Supplies","Storage","158.368","7","0.2","13.8572"
"90","9/18/2013","9/23/2013","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California","90036","West","Office Supplies","Art","20.1","3","0","6.633"
"91","9/18/2013","9/23/2013","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California","90036","West","Technology","Phones","73.584","2","0.2","8.2782"
"92","9/18/2013","9/23/2013","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California","90036","West","Office Supplies","Paper","6.48","1","0","3.1104"
"93","1/31/2012","2/5/2012","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","Office Supplies","Paper","12.96","2","0","6.2208"
"94","1/31/2012","2/5/2012","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","Furniture","Furnishings","53.34","3","0","16.5354"
"95","1/31/2012","2/5/2012","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","Office Supplies","Binders","32.96","2","0","16.1504"
"96","11/7/2014","11/13/2014","Standard Class","RB-19705","Roger Barcio","Home Office","United States","Portland","Oregon","97206","West","Office Supplies","Binders","5.682","1","0.7","-3.788"
"97","11/10/2014","11/12/2014","Second Class","PN-18775","Parhena Norris","Home Office","United States","New York City","New York","10009","East","Furniture","Furnishings","96.53","7","0","40.5426"
"98","6/18/2014","6/21/2014","First Class","KD-16345","Katherine Ducich","Consumer","United States","San Francisco","California","94122","West","Office Supplies","Binders","51.312","3","0.2","17.9592"
"99","9/7/2013","9/12/2013","Standard Class","ER-13855","Elpida Rittenbach","Corporate","United States","Saint Paul","Minnesota","55106","Central","Office Supplies","Appliances","77.88","6","0","22.5852"
"100","8/30/2013","9/3/2013","Standard Class","RB-19465","Rick Bensley","Home Office","United States","Chicago","Illinois","60610","Central","Office Supplies","Paper","64.624","7","0.2","22.6184"
"101","8/30/2013","9/3/2013","Standard Class","RB-19465","Rick Bensley","Home Office","United States","Chicago","Illinois","60610","Central","Technology","Accessories","95.976","3","0.2","-10.7973"
"102","8/30/2013","9/3/2013","Standard Class","RB-19465","Rick Bensley","Home Office","United States","Chicago","Illinois","60610","Central","Office Supplies","Binders","1.788","3","0.8","-3.0396"
"103","12/2/2013","12/5/2013","Second Class","GZ-14470","Gary Zandusky","Consumer","United States","Rochester","Minnesota","55901","Central","Office Supplies","Paper","23.92","4","0","11.7208"
"104","11/13/2012","11/17/2012","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","Technology","Accessories","238.896","6","0.2","-26.8758"
"105","11/13/2012","11/17/2012","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","Furniture","Furnishings","102.36","3","0.2","-3.8385"
"106","11/13/2012","11/17/2012","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","Office Supplies","Binders","36.882","3","0.7","-25.8174"
"107","11/24/2014","11/29/2014","Standard Class","JM-15250","Janet Martin","Consumer","United States","Charlotte","North Carolina","28205","South","Technology","Accessories","74.112","8","0.2","17.6016"
"108","11/24/2014","11/29/2014","Standard Class","JM-15250","Janet Martin","Consumer","United States","Charlotte","North Carolina","28205","South","Technology","Phones","27.992","1","0.2","2.0994"
"109","11/24/2014","11/29/2014","Standard Class","JM-15250","Janet Martin","Consumer","United States","Charlotte","North Carolina","28205","South","Office Supplies","Art","3.304","1","0.2","1.0738"
"110","10/15/2012","10/20/2012","Standard Class","PA-19060","Pete Armstrong","Home Office","United States","Orland Park","Illinois","60462","Central","Technology","Accessories","339.96","5","0.2","67.992"
"111","12/26/2014","12/31/2014","Standard Class","CV-12805","Cynthia Voltz","Corporate","United States","New York City","New York","10035","East","Furniture","Furnishings","41.96","2","0","10.9096"
"112","11/4/2013","11/11/2013","Standard Class","CL-12565","Clay Ludtke","Consumer","United States","Urbandale","Iowa","50322","Central","Office Supplies","Art","75.96","2","0","22.788"
"113","11/4/2013","11/11/2013","Standard Class","CL-12565","Clay Ludtke","Consumer","United States","Urbandale","Iowa","50322","Central","Office Supplies","Binders","27.24","6","0","13.3476"
"114","8/25/2011","8/27/2011","Second Class","RC-19960","Ryan Crowe","Consumer","United States","Columbus","Ohio","43229","East","Office Supplies","Fasteners","40.096","14","0.2","14.5348"
"115","8/25/2011","8/27/2011","Second Class","RC-19960","Ryan Crowe","Consumer","United States","Columbus","Ohio","43229","East","Office Supplies","Envelopes","4.72","2","0.2","1.652"
"116","8/25/2011","8/27/2011","Second Class","RC-19960","Ryan Crowe","Consumer","United States","Columbus","Ohio","43229","East","Office Supplies","Paper","23.976","3","0.2","7.4925"
"117","8/25/2011","8/27/2011","Second Class","RC-19960","Ryan Crowe","Consumer","United States","Columbus","Ohio","43229","East","Office Supplies","Envelopes","130.464","6","0.2","44.0316"
"118","3/2/2012","3/6/2012","Standard Class","DK-13090","Dave Kipp","Consumer","United States","Seattle","Washington","98103","West","Furniture","Tables","787.53","3","0","165.3813"
"119","4/5/2012","4/10/2012","Standard Class","GG-14650","Greg Guthrie","Corporate","United States","Bristol","Tennessee","37620","South","Office Supplies","Binders","157.794","1","0.7","-115.7156"
"120","6/13/2013","6/16/2013","First Class","SC-20725","Steven Cartwright","Consumer","United States","Wilmington","Delaware","19805","East","Furniture","Furnishings","47.04","3","0","18.3456"
"121","6/13/2013","6/16/2013","First Class","SC-20725","Steven Cartwright","Consumer","United States","Wilmington","Delaware","19805","East","Office Supplies","Binders","30.84","4","0","13.878"
"122","6/13/2013","6/16/2013","First Class","SC-20725","Steven Cartwright","Consumer","United States","Wilmington","Delaware","19805","East","Office Supplies","Storage","226.56","6","0","63.4368"
"123","6/13/2013","6/16/2013","First Class","SC-20725","Steven Cartwright","Consumer","United States","Wilmington","Delaware","19805","East","Office Supplies","Envelopes","115.02","9","0","51.759"
"124","6/13/2013","6/16/2013","First Class","SC-20725","Steven Cartwright","Consumer","United States","Wilmington","Delaware","19805","East","Technology","Phones","68.04","7","0","19.7316"
"125","12/26/2011","12/28/2011","Second Class","AD-10180","Alan Dominguez","Home Office","United States","Houston","Texas","77041","Central","Furniture","Chairs","600.558","3","0.3","-8.5794000000001"
"126","9/20/2011","9/25/2011","Standard Class","PF-19165","Philip Fox","Consumer","United States","Bloomington","Illinois","61701","Central","Furniture","Tables","617.7","6","0.5","-407.682"
"127","11/6/2014","11/13/2014","Standard Class","TS-21610","Troy Staebel","Consumer","United States","Phoenix","Arizona","85023","West","Office Supplies","Binders","2.388","2","0.7","-1.8308"
"128","11/6/2014","11/13/2014","Standard Class","TS-21610","Troy Staebel","Consumer","United States","Phoenix","Arizona","85023","West","Office Supplies","Storage","243.992","7","0.2","30.499"
"129","11/7/2013","11/11/2013","Second Class","LS-16975","Lindsay Shagiari","Home Office","United States","Los Angeles","California","90004","West","Furniture","Chairs","81.424","2","0.2","-9.1602"
"130","11/7/2013","11/11/2013","Second Class","LS-16975","Lindsay Shagiari","Home Office","United States","Los Angeles","California","90004","West","Furniture","Furnishings","238.56","3","0","26.2416"
"131","2/3/2014","2/6/2014","First Class","DW-13585","Dorothy Wardle","Corporate","United States","Columbus","Ohio","43229","East","Technology","Phones","59.97","5","0.4","-11.994"
"132","2/3/2014","2/6/2014","First Class","DW-13585","Dorothy Wardle","Corporate","United States","Columbus","Ohio","43229","East","Office Supplies","Paper","78.304","2","0.2","29.364"
"133","2/3/2014","2/6/2014","First Class","DW-13585","Dorothy Wardle","Corporate","United States","Columbus","Ohio","43229","East","Office Supplies","Fasteners","21.456","9","0.2","6.9732"
"134","10/14/2013","10/20/2013","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","Office Supplies","Paper","20.04","3","0","9.6192"
"135","10/14/2013","10/20/2013","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","Office Supplies","Paper","35.44","1","0","16.6568"
"136","10/14/2013","10/20/2013","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","Office Supplies","Art","11.52","4","0","3.456"
"137","10/14/2013","10/20/2013","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","Office Supplies","Fasteners","4.02","2","0","1.9698"
"138","10/14/2013","10/20/2013","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","Office Supplies","Binders","76.176","3","0.2","26.6616"
"139","10/14/2013","10/20/2013","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","Office Supplies","Supplies","65.88","6","0","18.4464"
"140","10/14/2013","10/20/2013","Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","Furniture","Furnishings","43.12","14","0","20.6976"
"141","9/6/2013","9/8/2013","Second Class","JD-15895","Jonathan Doherty","Corporate","United States","Philadelphia","Pennsylvania","19140","East","Furniture","Furnishings","82.8","2","0.2","10.35"
"142","9/19/2014","9/24/2014","Standard Class","SH-19975","Sally Hughsby","Corporate","United States","San Francisco","California","94122","West","Office Supplies","Art","8.82","3","0","2.3814"
"143","9/19/2014","9/24/2014","Standard Class","SH-19975","Sally Hughsby","Corporate","United States","San Francisco","California","94122","West","Office Supplies","Envelopes","10.86","3","0","5.1042"
"144","9/19/2014","9/24/2014","Standard Class","SH-19975","Sally Hughsby","Corporate","United States","San Francisco","California","94122","West","Office Supplies","Paper","143.7","3","0","68.976"
"145","12/23/2014","12/28/2014","Standard Class","SG-20080","Sandra Glassco","Consumer","United States","Independence","Missouri","64055","Central","Office Supplies","Appliances","839.43","3","0","218.2518"
"146","9/7/2012","9/12/2012","Standard Class","HA-14920","Helen Andreada","Consumer","United States","Pasadena","California","91104","West","Office Supplies","Storage","671.93","7","0","20.1579"
"147","10/22/2011","10/28/2011","Standard Class","MG-17680","Maureen Gastineau","Home Office","United States","Newark","Ohio","43055","East","Furniture","Furnishings","93.888","4","0.2","12.9096"
"148","12/6/2013","12/10/2013","Standard Class","JE-16165","Justin Ellison","Corporate","United States","Franklin","Wisconsin","53132","Central","Technology","Phones","384.45","11","0","103.8015"
"149","12/6/2013","12/10/2013","Standard Class","JE-16165","Justin Ellison","Corporate","United States","Franklin","Wisconsin","53132","Central","Technology","Phones","149.97","3","0","5.9988"
"150","12/6/2013","12/10/2013","Standard Class","JE-16165","Justin Ellison","Corporate","United States","Franklin","Wisconsin","53132","Central","Furniture","Chairs","1951.84","8","0","585.552"
"151","12/6/2013","12/10/2013","Standard Class","JE-16165","Justin Ellison","Corporate","United States","Franklin","Wisconsin","53132","Central","Office Supplies","Binders","171.55","5","0","80.6285"
"152","3/14/2013","3/17/2013","First Class","TW-21025","Tamara Willingham","Home Office","United States","Scottsdale","Arizona","85254","West","Office Supplies","Appliances","157.92","5","0.2","17.766"
"153","3/14/2013","3/17/2013","First Class","TW-21025","Tamara Willingham","Home Office","United States","Scottsdale","Arizona","85254","West","Technology","Phones","203.184","2","0.2","15.2388"
"154","5/31/2012","6/2/2012","First Class","SP-20650","Stephanie Phelps","Corporate","United States","San Jose","California","95123","West","Office Supplies","Paper","58.38","7","0","26.271"
"155","5/31/2012","6/2/2012","First Class","SP-20650","Stephanie Phelps","Corporate","United States","San Jose","California","95123","West","Office Supplies","Paper","105.52","4","0","48.5392"
"156","5/31/2012","6/2/2012","First Class","SP-20650","Stephanie Phelps","Corporate","United States","San Jose","California","95123","West","Office Supplies","Storage","80.88","6","0","21.0288"
"157","5/28/2012","6/3/2012","Standard Class","NK-18490","Neil Knudson","Home Office","United States","Seattle","Washington","98105","West","Office Supplies","Art","6.63","3","0","1.7901"
"158","3/1/2011","3/6/2011","Second Class","DB-13060","Dave Brooks","Consumer","United States","Seattle","Washington","98115","West","Furniture","Chairs","457.568","2","0.2","51.4764"
"159","11/21/2013","11/25/2013","Standard Class","NP-18670","Nora Paige","Consumer","United States","Edmond","Oklahoma","73034","Central","Office Supplies","Labels","14.62","2","0","6.8714"
"160","11/21/2013","11/25/2013","Standard Class","NP-18670","Nora Paige","Consumer","United States","Edmond","Oklahoma","73034","Central","Technology","Phones","944.93","7","0","236.2325"
"161","5/12/2013","5/13/2013","First Class","TT-21070","Ted Trevino","Consumer","United States","Los Angeles","California","90045","West","Office Supplies","Paper","5.98","1","0","2.691"
